artist,title,album,url,isDownloaded
Rise Against,Help Is On The Way,Endgame,https://music.youtube.com/watch?v=NNWaHH9W-HAlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Anti-Flag,American Attraction,American Fall,https://music.youtube.com/watch?v=at-r8rMlwVIlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Rise Against,Savior,Appeal To Reason,https://music.youtube.com/watch?v=vbMh38KGZMMlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Rise Against,Make It Stop (September's Children),Endgame,https://music.youtube.com/watch?v=SIGqnneLUWclist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Rise Against,Satellite,Endgame,https://music.youtube.com/watch?v=KCffKIZV82wlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Billy Talent,Tears into Wine,Billy Talent III,https://music.youtube.com/watch?v=sCb9thSVG9Elist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Good Charlotte,The River,Good Morning Revival,https://music.youtube.com/watch?v=5oivLoplnOclist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
AFI,Miss Murder,Decemberunderground,https://music.youtube.com/watch?v=aviGAyS9TGslist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Rush,Tom Sawyer,Moving Pictures,https://music.youtube.com/watch?v=qE6FHuXb1xglist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Forest Blaster,Guitar Hero III (#45) Eric Johnson - Cliffs Of Dover,,https://music.youtube.com/watch?v=rR_qGzIhgfwlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Forest Blaster,Guitar Hero III (#33) Santana - Black Magic Woman,,https://music.youtube.com/watch?v=bOoQPPbBv_glist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Forest Blaster,Guitar Hero III (#32) Bloc Party - Helicopter,,https://music.youtube.com/watch?v=55vBLOlbnLUlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Forest Blaster,Guitar Hero III (#24) Pearl Jam - Even Flow,,https://music.youtube.com/watch?v=UDrbZCANuBAlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Forest Blaster,Guitar Hero III (#17) Priestess - Lay Down,,https://music.youtube.com/watch?v=XsyIPVuYP0Mlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Forest Blaster,Guitar Hero III (#8) Alice Cooper - School's Out (WaveGroup),,https://music.youtube.com/watch?v=mQ8vwH1MLpIlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Forest Blaster,Guitar Hero III (#2) Poison - Talk Dirty To Me,,https://music.youtube.com/watch?v=snkgEm8rM_Ylist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Breaking Benjamin,Here We Are,Phobia,https://music.youtube.com/watch?v=eYIjCO94EGMlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Breaking Benjamin,Into The Nothing,Dear Agony,https://music.youtube.com/watch?v=UGexW-k3wA8list=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Breaking Benjamin,Give Me A Sign,Dear Agony,https://music.youtube.com/watch?v=lnS_vLW6lJ0list=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Breaking Benjamin,The Diary of Jane (Single Version),Phobia,https://music.youtube.com/watch?v=pcAKbKUBUOQlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Breaking Benjamin,Dance With The Devil,Phobia,https://music.youtube.com/watch?v=IN_FFmeQAC0list=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Our Last Night,Sunrise,Sunrise,https://music.youtube.com/watch?v=6y3Ic132H4Ilist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
STARSET,My Demons,Transmissions (Deluxe Version),https://music.youtube.com/watch?v=VrJsdm0WoXUlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
STARSET,DIE FOR YOU,,https://music.youtube.com/watch?v=WJxSNbAer9Mlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Polyphia,Nasty (feat. Jason Richardson),New Levels New Devils,https://music.youtube.com/watch?v=2w9hxLYIfO4list=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Polyphia,O.D.,New Levels New Devils,https://music.youtube.com/watch?v=8lFq5HTKbPUlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Papa Roach,Face Everything And Rise,F.E.A.R.,https://music.youtube.com/watch?v=tLkxJR2qHoAlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Architects,Doomsday,Holy Hell,https://music.youtube.com/watch?v=MNynO3MpNMglist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
