artist,title,album,url,isDownloaded
Astrid S,Hurts So Good,Astrid S,https://music.youtube.com/watch?v=WidBsj7ztc4list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Khalid,Love Lies,Love Lies,https://music.youtube.com/watch?v=Yv0x3kdWbTglist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
FLETCHER,Bitter,Bitter,https://music.youtube.com/watch?v=CPKAR5EA_O4list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Fitz and the Tantrums,Moneygrabber,Pickin' up the Pieces,https://music.youtube.com/watch?v=IrxxTvkcAA4list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Lost Frequencies,Reality (Radio Edit) (feat. Janieck Devy),Less is More,https://music.youtube.com/watch?v=KjfPmdBFo_8list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Lost Kings,I Miss The Future (feat. Jordan Shaw),I Miss The Future,https://music.youtube.com/watch?v=ZfVH0A3Fk_olist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Abhi The Nomad,Good Luck,Rockstar / Good Luck,https://music.youtube.com/watch?v=A3UHa7cGptslist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Clairo,Sofia,Immunity,https://music.youtube.com/watch?v=wD__jpWgWkQlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Cannons,Backwards,Backwards,https://music.youtube.com/watch?v=TTDt--YCq1Alist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Younger Hunger,Straight Face,Straight Face,https://music.youtube.com/watch?v=OCYaoq4xbqglist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
ROLE MODEL,play the part,play the part,https://music.youtube.com/watch?v=T5KPS0HBD2klist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Far East Movement,Rocketeer (feat. Ryan Tedder),Free Wired,https://music.youtube.com/watch?v=xEpGSOFPgm8list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Ariana Grande,7 rings,"thank u, next",https://music.youtube.com/watch?v=XZ868t23Pb4list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Owl City,Fireflies,Fireflies,https://music.youtube.com/watch?v=6u4GSCO_5Pwlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Kings Of Leon,Use Somebody,Only By The Night,https://music.youtube.com/watch?v=5xppdO2b2rclist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Mazzy Star,Fade Into You,So Tonight That I Might See,https://music.youtube.com/watch?v=avv2IIdDnnklist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Soft Cell,Tainted Love,Non-Stop Erotic Cabaret,https://music.youtube.com/watch?v=iNrHoGi4E6wlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
The Police,Every Breath You Take,Synchronicity (Remastered 2003),https://music.youtube.com/watch?v=-SaUrDhp034list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Tears For Fears,Everybody Wants To Rule The World (Single Version),Songs From The Big Chair (Deluxe),https://music.youtube.com/watch?v=Ij65wvAGX-clist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Tears For Fears,Everybody Wants To Rule The World (Extended Version),Songs From The Big Chair (Super Deluxe),https://music.youtube.com/watch?v=ehRd-7GS8kclist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Zedd,Clarity (feat. Foxes),Clarity,https://music.youtube.com/watch?v=Lur-rvf6A1clist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Duke Dumont,Ocean Drive,Blasé Boys Club (Pt. 1),https://music.youtube.com/watch?v=dmaE78oaVLglist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Zedd,Lost At Sea (feat. Ryan Tedder),Clarity,https://music.youtube.com/watch?v=O7S21zudhtYlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
DJ Snake,You Know You Like It,You Know You Like It,https://music.youtube.com/watch?v=AxQ6pUmh61Qlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Capital Cities,Safe And Sound,In A Tidal Wave Of Mystery (Deluxe Edition),https://music.youtube.com/watch?v=njvA03rMHx4list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Martin Garrix,Ocean (feat. Khalid),Ocean,https://music.youtube.com/watch?v=ZURA7fT-ozMlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
$uicideboy$,Runnin' Thru the 7th with My Woadies,$outh $ide $uicide,https://music.youtube.com/watch?v=zxw3FQ3qMLwlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Labrinth,Forever,Euphoria (Original Score from the HBO Series),https://music.youtube.com/watch?v=DA9lef8ap18list=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Lil Peep,I've Been Waiting (feat. Fall Out Boy),I've Been Waiting,https://music.youtube.com/watch?v=iathIUYqTrglist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
Mark Ronson,Late Night Feelings (feat. Lykke Li),Late Night Feelings,https://music.youtube.com/watch?v=Lpa1YfeVEFslist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
BETWEEN FRIENDS,affection,we just need some time together,https://music.youtube.com/watch?v=frPT7NLjipglist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
King Princess,Tough On Myself,Cheap Queen (Deluxe),https://music.youtube.com/watch?v=Quos9e9C_CMlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
King Princess,Useless Phrases,Cheap Queen (Deluxe),https://music.youtube.com/watch?v=jsgK2osGRIAlist=PLzx7xtGqjNzoElKjq_zmpzgoS8RNrqHYh,True
